CNL_Z,Density_0108,GR_Z,P-wave_0108,S-wave_0108
27.7075,2.4682,73.6562,107.0155,188.0522
27.1801,2.4637,72.1864,106.5615,186.5179
26.5198,2.4592,70.372,105.8935,184.6866
25.7729,2.457,67.4399,104.9855,182.4939
25.0184,2.4559,63.4989,103.9017,180.0841
24.3085,2.4581,59.2036,102.6951,177.5225
23.6836,2.4626,55.6917,101.4401,174.5626
23.1865,2.4659,54.3074,100.2516,172.3353
22.8172,2.467,54.6374,99.223,170.756
22.5859,2.4682,55.737,98.4322,169.677
22.506,2.4682,56.7492,97.9365,169.1685
22.612,2.4693,57.3944,97.8238,169.2893
22.8753,2.4704,57.872,98.0345,170.2487
23.2765,2.4704,58.4002,98.5212,171.3389
23.7736,2.4693,59.3175,99.1994,172.3751
24.2959,2.467,60.6628,99.9474,173.2441
24.7509,2.4626,62.103,100.6267,173.8205
25.0638,2.457,63.3386,101.145,174.0154
25.1808,2.4536,63.7888,101.4469,173.7947
25.058,2.4514,62.5194,101.4874,173.4267
24.7644,2.4503,59.891,101.3534,172.993
24.3691,2.4503,56.7713,101.1179,172.5304
23.9561,2.4514,54.1334,100.8577,172.0761
23.618,2.4525,52.6679,100.6425,171.5889
23.3959,2.4536,52.2198,100.4904,171.3198
23.2908,2.4525,52.5235,100.3902,171.1971
23.2765,2.4514,53.2024,100.3169,171.2371
23.3093,2.4503,54.0332,100.2415,171.439
23.3404,2.4491,54.9347,100.1468,171.8179
23.3488,2.4491,55.7823,100.0409,172.196
23.3303,2.448,56.4023,99.9542,172.4629
23.3,2.4458,56.6153,99.9452,172.706
23.3,2.4424,56.4539,100.0499,172.9681
23.3841,2.4391,55.8909,100.2944,173.3067
23.6171,2.4357,55.155,100.6774,173.9382
24.094,2.4335,55.2942,101.1912,174.5734
24.8056,2.4324,57.0043,101.7702,175.2098
25.7207,2.4324,60.0365,102.3572,175.7951
26.7503,2.4324,63.2785,102.8788,176.2738
27.7302,2.4335,65.5801,103.228,176.604
28.4964,2.4335,66.9201,103.3722,176.6514
28.9153,2.4335,67.7615,103.299,176.5076
28.917,2.4335,68.5501,103.0387,176.2603
28.4603,2.4346,68.9961,102.6467,175.9402
27.7201,2.4346,68.5617,102.2175,175.5769
26.8445,2.4368,67.2807,101.8029,175.061
25.984,2.4402,65.7815,101.4345,174.4728
25.2893,2.4435,64.5648,101.1292,173.7086
24.793,2.448,63.2775,100.8588,172.7042
24.4801,2.4514,61.7129,100.5884,171.484
24.2934,2.4559,60.1831,100.2696,170.0167
24.1479,2.4614,59.5568,99.8449,168.4267
23.9628,2.4682,59.9479,99.3165,167.3383
23.708,2.4771,60.7714,98.7127,166.4216
23.3909,2.4872,61.1667,98.0863,165.6018
23.0519,2.4973,60.1915,97.523,164.8404
22.7483,2.5062,58.0881,97.0825,164.0392
22.5178,2.5129,55.6674,96.8065,163.5876
22.3841,2.5163,53.853,96.7187,163.493
22.3681,2.5185,53.4133,96.8482,163.6401
22.4446,2.5185,53.9478,97.1242,163.9529
22.596,2.5152,54.7744,97.4735,164.3239
22.7928,2.5107,55.4197,97.8081,164.5392
22.9922,2.5062,55.9985,98.0165,164.4192
23.1469,2.5017,56.9305,98.0638,164.0906
23.2235,2.4995,57.989,97.9444,163.5896
23.205,2.4984,58.3696,97.6785,162.9417
23.0788,2.4995,57.2584,97.2752,162.0458
22.8786,2.5006,55.2099,96.7705,161.0319
22.628,2.5006,53.156,96.1712,160.0611
22.3445,2.5006,51.8983,95.4738,159.0473
22.0375,2.4984,51.4702,94.6706,158.0382
21.7137,2.4961,51.0052,93.7862,157.0521
21.3814,2.4928,50.0859,92.8489,155.9756
21.0601,2.4917,48.8935,91.9003,155.3589
20.7935,2.4939,48.2081,91.0238,154.9271
20.616,2.4973,48.5666,90.2848,154.6615
20.5521,2.5029,50.0068,89.7418,154.553
20.6118,2.5085,52.0005,89.4241,154.6127
20.791,2.514,53.6579,89.361,154.8819
21.0383,2.5196,54.4666,89.4793,155.2329
21.3259,2.5241,54.4961,89.7328,155.6219
21.6346,2.5252,54.1924,90.0753,156.0048
21.9568,2.5241,54.1271,90.4718,156.3268
22.2789,2.5196,54.7006,90.8763,156.6275
22.5758,2.5129,55.9384,91.2458,156.7586
22.8029,2.5051,57.4766,91.5331,156.7388
22.8702,2.4961,58.6047,91.6457,156.5388
22.7348,2.4894,58.6996,91.5477,156.1046
22.3656,2.4872,57.5557,91.2086,155.2714
21.7625,2.4883,55.4239,90.6363,153.8717
20.9601,2.4917,52.9789,89.8702,152.4915
20.0929,2.4984,50.729,89.0478,151.2157
19.2803,2.5029,48.3853,88.2818,150.1877
18.6478,2.5062,45.6683,87.6543,149.489
18.3425,2.5073,43.0125,87.2329,149.1232
18.3602,2.5073,41.6134,86.967,148.8928
18.6647,2.5062,42.2449,86.8082,148.5322
19.1634,2.5062,44.6235,86.7091,148.0844
19.7152,2.5085,47.4891,86.646,147.6175
20.1711,2.514,49.4016,86.6189,147.1933
20.4503,2.5219,49.952,86.6595,146.9221
20.5311,2.5308,49.4322,86.8161,146.8347
20.4344,2.5387,48.4,87.1676,146.7927
20.2687,2.5431,47.5661,87.6982,146.7537
20.1088,2.542,47.2593,88.3539,146.6697
19.9987,2.5375,47.6146,89.0264,146.3691
19.9356,2.5308,48.341,89.5311,145.6442
19.8607,2.5241,48.7279,89.7542,144.5639
19.7194,2.5196,48.3842,89.6472,143.2153
19.4755,2.5185,47.177,89.2348,141.7689
19.129,2.5196,45.2255,88.5927,140.431
18.7462,2.523,43.216,87.8886,139.5537
18.3921,2.5252,42.0088,87.2295,139.5181
18.1238,2.5264,42.4642,86.6809,139.8083
17.9808,2.5252,44.9387,86.2719,140.3354
17.927,2.523,48.0764,85.9329,141.0409
17.9127,2.5185,50.379,85.6095,142.1096
17.8791,2.5163,50.787,85.2704,143.5175
17.7748,2.5163,49.1233,84.9572,144.828
17.62,2.5185,46.6826,84.7612,146.0528
17.4762,2.523,44.3662,84.7804,147.1186
17.4417,2.5275,42.6804,85.0823,147.9046
17.6528,2.5297,42.0035,85.6985,148.1849
18.1154,2.5297,42.3799,86.4826,147.5476
18.7757,2.5297,43.9108,87.2859,146.2252
19.5016,2.5297,46.2714,87.9382,144.4214
20.0727,2.5342,48.4433,88.2254,142.3233
20.3393,2.5398,49.3637,88.1116,140.1797
20.2258,2.5465,48.4675,87.6115,138.8439
19.7446,2.551,45.9034,86.824,138.4323
18.9876,2.5532,42.5391,85.9092,138.3627
18.1861,2.5521,39.4985,85.0654,138.4857
17.5123,2.5499,37.2485,84.3996,138.6651
17.096,2.5476,35.841,83.9445,138.9008
17.0161,2.5454,35.2812,83.6775,139.2211
17.1574,2.5431,35.4277,83.4758,139.5897
17.4055,2.5409,36.2817,83.2629,139.9698
17.6444,2.5387,37.6935,82.9948,140.2945
17.7756,2.5342,39.0873,82.6714,140.4919
17.7975,2.5308,39.7336,82.3526,140.4773
17.7487,2.5308,39.2855,82.0969,140.3414
17.6915,2.5308,37.8875,81.9549,140.2829
17.7083,2.5331,36.5168,81.9775,140.4973
17.8277,2.5331,36.3176,82.1374,141.1619
18.0439,2.5308,37.6861,82.4056,142.794
18.3198,2.5275,40.2323,82.7356,144.5754
18.5932,2.5241,42.9566,83.0747,145.8128
18.8144,2.523,45.0821,83.3845,146.4872
18.9675,2.5252,46.419,83.6673,146.6351
19.0675,2.5275,47.0632,83.9501,146.3896
19.1542,2.5297,47.2129,84.2655,146.1512
19.2661,2.5308,47.196,84.5922,146.1003
19.404,2.532,47.216,84.8581,145.8391
19.5293,2.532,47.2456,84.9595,145.2002
19.552,2.5331,47.0031,84.7556,144.0578
19.409,2.5353,46.2556,84.252,142.0838
19.0659,2.5387,44.7922,83.4769,139.944
18.5334,2.5443,42.6972,82.4957,138.1852
17.8563,2.5499,40.2797,81.377,136.6413
17.1473,2.5543,38.0055,80.2313,135.3189
16.4912,2.5555,36.4188,79.1385,134.1756
15.9588,2.5555,36.0129,78.1877,133.058
15.6308,2.5555,36.8606,77.5196,132.7254
15.5063,2.5555,37.8558,77.1873,133.0743
15.6022,2.5577,38.2607,77.2549,134.2498
15.9327,2.5588,38.1373,77.7675,136.2919
16.5442,2.5599,38.3851,78.8107,139.7251
17.3862,2.5566,39.9824,80.2594,143.8833
18.4039,2.5499,43.0747,81.9842,147.1019
19.4982,2.5409,46.8713,83.7811,149.6115
20.4848,2.5308,50.1776,85.3245,151.2374
21.2031,2.523,52.262,86.3936,151.976
21.532,2.5196,52.9104,86.8769,151.904
21.426,2.5185,52.1355,86.8048,151.4213
20.902,2.5219,50.0479,86.3226,150.7811
20.1946,2.5275,47.4585,85.7661,150.0961
19.5117,2.5342,44.9767,85.3651,149.5506
19.0532,2.5387,43.4268,85.2896,149.4895
19.0204,2.5398,44.0984,85.6794,150.5097
19.3796,2.5375,46.7479,86.4387,151.908
20.05,2.532,50.6868,87.4616,153.1817
